cpu,	xruns,	
74.280265808105,	0.0,	
74.777862548828,	0.0,	
74.069664001465,	0.0,	
74.042091369629,	0.0,	
73.935493469238,	0.0,	
73.950302124023,	0.0,	
74.11156463623,	0.0,	
73.948860168457,	0.0,	
73.928527832031,	0.0,	
74.512069702148,	0.0,	
74.341201782227,	0.0,	
74.432373046875,	0.0,	
74.190582275391,	0.0,	
74.094711303711,	0.0,	
73.974891662598,	0.0,	
73.767677307129,	0.0,	
73.713645935059,	0.0,	
74.429916381836,	0.0,	
74.105880737305,	0.0,	
74.215408325195,	0.0,	
74.346321105957,	0.0,	
74.198577880859,	0.0,	
73.945678710938,	0.0,	
74.021896362305,	0.0,	
74.078315734863,	0.0,	
80.710464477539,	0.0,	
74.853439331055,	0.0,	
74.060356140137,	0.0,	
74.054992675781,	0.0,	
74.07307434082,	0.0,	
74.16911315918,	0.0,	
74.040451049805,	0.0,	
74.118148803711,	0.0,	
74.263824462891,	0.0,	
74.098587036133,	0.0,	
74.336410522461,	0.0,	
74.398956298828,	0.0,	
73.961349487305,	0.0,	
73.531547546387,	0.0,	
73.538780212402,	0.0,	
73.45059967041,	0.0,	
73.734962463379,	0.0,	
73.50325012207,	0.0,	
73.32893371582,	0.0,	
73.443130493164,	0.0,	
73.462097167969,	0.0,	
73.309730529785,	0.0,	
73.370391845703,	0.0,	
73.363906860352,	0.0,	
73.63973236084,	0.0,	
73.492446899414,	0.0,	
73.308837890625,	0.0,	
73.342147827148,	0.0,	
73.510414123535,	0.0,	
73.592407226562,	0.0,	
73.930862426758,	0.0,	
74.06224822998,	0.0,	
74.191200256348,	0.0,	
73.747833251953,	0.0,	
73.626770019531,	0.0,	
73.391265869141,	0.0,	
73.375900268555,	0.0,	
73.275512695312,	0.0,	
73.337982177734,	0.0,	
73.477073669434,	0.0,	
74.080551147461,	0.0,	
73.443244934082,	0.0,	
73.401153564453,	0.0,	
73.255226135254,	0.0,	
73.218231201172,	0.0,	
73.316757202148,	0.0,	
73.221237182617,	0.0,	
73.509368896484,	0.0,	
74.042381286621,	0.0,	
73.438537597656,	0.0,	
73.245834350586,	0.0,	
73.826583862305,	0.0,	
73.660057067871,	0.0,	
73.704879760742,	0.0,	
73.682357788086,	0.0,	
73.52481842041,	0.0,	
73.898971557617,	0.0,	
73.716674804688,	0.0,	
73.744781494141,	0.0,	
73.837379455566,	0.0,	
73.680160522461,	0.0,	
73.669883728027,	0.0,	
73.738929748535,	0.0,	
73.967926025391,	0.0,	
74.4794921875,	0.0,	
73.722915649414,	0.0,	
73.604904174805,	0.0,	
73.622970581055,	0.0,	
73.747131347656,	0.0,	
73.762649536133,	0.0,	
73.759902954102,	0.0,	
73.956481933594,	0.0,	
74.149848937988,	0.0,	
73.863792419434,	0.0,	
73.71159362793,	0.0,	
73.786346435547,	0.0,	
73.734733581543,	0.0,	
73.690773010254,	0.0,	
73.57275390625,	0.0,	
73.75023651123,	0.0,	
75.361877441406,	0.0,	
74.030143737793,	0.0,	
73.798034667969,	0.0,	
73.726821899414,	0.0,	
73.736671447754,	0.0,	
73.573791503906,	0.0,	
73.633148193359,	0.0,	
73.809356689453,	0.0,	
74.422157287598,	0.0,	
73.847473144531,	0.0,	
73.7705078125,	0.0,	
73.723373413086,	0.0,	
73.586204528809,	0.0,	
73.826934814453,	0.0,	
73.838272094727,	0.0,	
73.76936340332,	0.0,	
74.459358215332,	0.0,	
73.476585388184,	0.0,	
73.33967590332,	0.0,	
73.270980834961,	0.0,	
73.22957611084,	0.0,	
73.275978088379,	0.0,	
73.5302734375,	0.0,	
73.421401977539,	0.0,	
74.092346191406,	0.0,	
73.464950561523,	0.0,	
73.253829956055,	0.0,	
73.246185302734,	0.0,	
73.296813964844,	0.0,	
73.350021362305,	0.0,	
73.197265625,	0.0,	
73.192230224609,	0.0,	
73.355712890625,	0.0,	
73.671524047852,	0.0,	
73.420303344727,	0.0,	
73.313888549805,	0.0,	
73.216186523438,	0.0,	
73.218040466309,	0.0,	
73.302665710449,	0.0,	
73.317932128906,	0.0,	
86.176177978516,	0.0,	
76.467147827148,	0.0,	
73.629096984863,	0.0,	
73.26496887207,	0.0,	
73.167877197266,	0.0,	
73.226066589355,	0.0,	
73.416198730469,	0.0,	
73.243041992188,	0.0,	
73.27766418457,	0.0,	
73.50235748291,	0.0,	
73.253814697266,	0.0,	
73.250877380371,	0.0,	
73.194244384766,	0.0,	
73.177787780762,	0.0,	
73.761817932129,	0.0,	
73.834823608398,	0.0,	
73.55793762207,	0.0,	
74.109664916992,	0.0,	
73.807968139648,	0.0,	
73.624908447266,	0.0,	
73.742683410645,	0.0,	
73.583923339844,	0.0,	
73.58283996582,	0.0,	
73.63427734375,	0.0,	
73.692283630371,	0.0,	
73.943344116211,	0.0,	
73.726226806641,	0.0,	
73.708465576172,	0.0,	
73.692176818848,	0.0,	
73.582305908203,	0.0,	
73.615447998047,	0.0,	
73.600845336914,	0.0,	
73.552131652832,	0.0,	
73.653884887695,	0.0,	
73.599136352539,	0.0,	
73.584732055664,	0.0,	
73.71891784668,	0.0,	
74.157661437988,	0.0,	
73.884300231934,	0.0,	
73.836067199707,	0.0,	
73.740951538086,	0.0,	
77.086151123047,	0.0,	
74.184722900391,	0.0,	
73.761093139648,	0.0,	
73.520584106445,	0.0,	
73.60774230957,	0.0,	
73.637390136719,	0.0,	
73.739562988281,	0.0,	
73.714820861816,	0.0,	
73.875831604004,	0.0,	
73.692138671875,	0.0,	
73.788604736328,	0.0,	
73.528717041016,	0.0,	
73.482162475586,	0.0,	
73.62638092041,	0.0,	
73.911666870117,	0.0,	
73.684753417969,	0.0,	
74.125259399414,	0.0,	
73.598930358887,	0.0,	
73.650352478027,	0.0,	
73.497367858887,	0.0,	
73.35164642334,	0.0,	
73.375625610352,	0.0,	
73.289543151855,	0.0,	
73.428825378418,	0.0,	
73.591583251953,	0.0,	
73.367889404297,	0.0,	
73.321395874023,	0.0,	
73.587524414062,	0.0,	
73.630172729492,	0.0,	
73.701141357422,	0.0,	
73.625625610352,	0.0,	
73.513031005859,	0.0,	
73.859985351562,	0.0,	
73.434478759766,	0.0,	
73.540710449219,	0.0,	
73.71809387207,	0.0,	
73.674621582031,	0.0,	
73.631683349609,	0.0,	
73.72477722168,	0.0,	
73.689529418945,	0.0,	
79.025512695312,	0.0,	
74.782638549805,	0.0,	
73.704544067383,	0.0,	
73.85578918457,	0.0,	
73.499603271484,	0.0,	
73.61449432373,	0.0,	
73.675743103027,	0.0,	
73.688087463379,	0.0,	
74.111610412598,	0.0,	
73.770698547363,	0.0,	
73.545234680176,	0.0,	
73.568618774414,	0.0,	
73.604370117188,	0.0,	
73.847961425781,	0.0,	
73.789321899414,	0.0,	
73.631958007812,	0.0,	
74.418739318848,	0.0,	
74.479568481445,	0.0,	
74.096267700195,	0.0,	
73.998527526855,	0.0,	
74.455177307129,	0.0,	
74.188743591309,	0.0,	
74.160125732422,	0.0,	
74.142486572266,	0.0,	
74.899841308594,	0.0,	
74.333404541016,	0.0,	
74.262603759766,	0.0,	
74.216247558594,	0.0,	
74.182319641113,	0.0,	
74.112434387207,	0.0,	
74.460037231445,	0.0,	
75.216171264648,	0.0,	
74.916839599609,	0.0,	
74.701248168945,	0.0,	
74.592422485352,	0.0,	
74.234031677246,	0.0,	
74.268936157227,	0.0,	
74.273300170898,	0.0,	
74.437950134277,	0.0,	
74.247543334961,	0.0,	
75.850708007812,	0.0,	
74.21314239502,	0.0,	
74.149108886719,	0.0,	
74.080154418945,	0.0,	
74.099670410156,	0.0,	
74.209945678711,	0.0,	
74.101829528809,	0.0,	
74.168014526367,	0.0,	
75.010879516602,	0.0,	
74.239448547363,	0.0,	
74.158134460449,	0.0,	
74.348541259766,	0.0,	
74.409851074219,	0.0,	
74.356552124023,	0.0,	
74.213920593262,	0.0,	
74.196090698242,	0.0,	
75.023765563965,	0.0,	
74.541137695312,	0.0,	
74.701171875,	0.0,	
74.135093688965,	0.0,	
75.400604248047,	0.0,	
74.072494506836,	0.0,	
74.089340209961,	0.0,	
73.946090698242,	0.0,	
74.636169433594,	0.0,	
73.89722442627,	0.0,	
73.87565612793,	0.0,	
73.853736877441,	0.0,	
73.879119873047,	0.0,	
73.85417175293,	0.0,	
73.963577270508,	0.0,	
73.930358886719,	0.0,	
73.926208496094,	0.0,	
74.211708068848,	0.0,	
74.012954711914,	0.0,	
73.950607299805,	0.0,	
73.970947265625,	0.0,	
73.931289672852,	0.0,	
73.907577514648,	0.0,	
73.965560913086,	0.0,	
85.35221862793,	0.0,	
75.414901733398,	0.0,	
74.264450073242,	0.0,	
73.850761413574,	0.0,	
73.850616455078,	0.0,	
73.784965515137,	0.0,	
73.781448364258,	0.0,	
73.912284851074,	0.0,	
73.778610229492,	0.0,	
73.986953735352,	0.0,	
73.787940979004,	0.0,	
73.749000549316,	0.0,	
73.748817443848,	0.0,	
73.776931762695,	0.0,	
73.907028198242,	0.0,	
73.932678222656,	0.0,	
73.903060913086,	0.0,	
73.993133544922,	0.0,	
73.880882263184,	0.0,	
74.248237609863,	0.0,	
74.387939453125,	0.0,	
74.067810058594,	0.0,	
73.943389892578,	0.0,	
73.979415893555,	0.0,	
74.180847167969,	0.0,	
74.477966308594,	0.0,	
74.2197265625,	0.0,	
74.271835327148,	0.0,	
74.231460571289,	0.0,	
74.296752929688,	0.0,	
74.201759338379,	0.0,	
74.208641052246,	0.0,	
74.317337036133,	0.0,	
74.443450927734,	0.0,	
74.293533325195,	0.0,	
74.2529296875,	0.0,	
74.168151855469,	0.0,	
74.223190307617,	0.0,	
74.276962280273,	0.0,	
74.344635009766,	0.0,	
74.296829223633,	0.0,	
74.698768615723,	0.0,	
74.341094970703,	0.0,	
74.31982421875,	0.0,	
74.223403930664,	0.0,	
74.145706176758,	0.0,	
74.079727172852,	0.0,	
74.071487426758,	0.0,	
74.070449829102,	0.0,	
74.454788208008,	0.0,	
74.249481201172,	0.0,	
74.158340454102,	0.0,	
74.259475708008,	0.0,	
74.258056640625,	0.0,	
74.201614379883,	0.0,	
74.293014526367,	0.0,	
74.257553100586,	0.0,	
74.675109863281,	0.0,	
74.328765869141,	0.0,	
74.327667236328,	0.0,	
74.796401977539,	0.0,	
74.620559692383,	0.0,	
74.293807983398,	0.0,	
74.187324523926,	0.0,	
74.145889282227,	0.0,	
74.468910217285,	0.0,	
74.185775756836,	0.0,	
74.219734191895,	0.0,	
74.00927734375,	0.0,	
74.048606872559,	0.0,	
74.025390625,	0.0,	
74.074066162109,	0.0,	
73.976989746094,	0.0,	
74.330581665039,	0.0,	
74.07470703125,	0.0,	
73.934883117676,	0.0,	
73.903343200684,	0.0,	
74.086944580078,	0.0,	
74.030181884766,	0.0,	
73.952758789062,	0.0,	
73.882133483887,	0.0,	
77.221008300781,	0.0,	
74.715980529785,	0.0,	
73.996292114258,	0.0,	
73.873497009277,	0.0,	
73.933174133301,	0.0,	
73.921875,	0.0,	
73.906402587891,	0.0,	
73.984169006348,	0.0,	
74.214263916016,	0.0,	
73.919502258301,	0.0,	
73.906097412109,	0.0,	
73.843475341797,	0.0,	
73.845024108887,	0.0,	
73.892105102539,	0.0,	
73.888610839844,	0.0,	
73.93505859375,	0.0,	
74.264389038086,	0.0,	
73.948692321777,	0.0,	
